Year,FCF_Mean,FCF_Upper,FCF_Lower
2025-12-31,1183937959809.7898,1444257994558.2346,923617925061.3448
2026-12-31,1321301383311.1355,1695406339775.698,947196426846.573
2027-12-31,1464501708535.4082,1946763211629.7434,982240205441.073
2028-12-31,1586764008218.6223,2199054339213.3496,974473677223.8953
2029-12-31,1710961651750.5825,2450639767513.9517,971283535987.2135
